,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
Zelmo Beaty,,8,,,,,,3,3,1.000,,,,,,,,,19,
Allen Iverson,29,5,13,0.385,0,0,,3,4,0.750,0,1,1,3,0,0,2,2,13,-19
Yao Ming,6,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-2
Shaquille O'Neal,5,3,3,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,6,-2
Louie Dampier,,0,,,,,,0,0,,,,,,,,,,0,
Spencer Haywood,5,0,1,0.000,0,,,0,0,,,,0,1,,,,1,0,
Dikembe Mutombo,35,3,7,0.429,0,0,,4,5,0.800,5,10,15,0,0,4,2,4,10,+5
Jo Jo White,,2,,,0,,,2,2,1.000,,,,,,,,,6,
Sarunas Marciulionis,7,1,3,0.333,1,2,0.500,0,0,,0,0,0,0,1,0,2,3,3,
Alonzo Mourning,5,2,2,1.000,0,0,,1,2,0.500,0,1,1,0,0,0,0,1,5,+1
Mitch Richmond,11,3,7,0.429,1,2,0.500,0,0,,0,1,1,2,0,0,0,1,7,-3
Guy Rodgers,,0,,,,,,1,2,0.500,,,,,,,,6,1,
Richie Guerin,,2,,,,,,1,1,1.000,,,,,,,,,5,
Bernard King,11,1,3,0.333,0,0,,0,2,0.000,1,3,4,0,0,0,1,0,2,
Gary Payton,35,2,7,0.286,1,4,0.250,0,0,,0,2,2,7,2,0,1,2,5,-21
Mel Daniels,,2,,,,,,0,0,,,,,,,,,,4,
Reggie Miller,33,3,13,0.231,0,2,0.000,6,6,1.000,0,7,7,4,1,0,4,4,12,+9
Ralph Sampson,4,0,2,0.000,0,1,0.000,0,0,,1,0,1,1,0,0,0,0,0,
Chet Walker,,3,,,,,,4,4,1.000,,,,,,,,,10,
Jamaal Wilkes,8,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,2,2,
Artis Gilmore,22,2,8,0.250,0,0,,3,4,0.750,2,6,8,2,0,1,0,2,7,
Chris Mullin,8,0,0,,0,0,,0,0,,0,2,2,1,1,0,0,0,0,+5
Dennis Rodman,35,0,1,0.000,0,0,,2,2,1.000,2,13,15,1,0,0,1,2,2,
Arvydas Sabonis,11,2,3,0.667,0,1,0.000,1,2,0.500,0,1,1,3,1,1,2,0,5,+2
Gus Johnson,,2,,,,,,0,0,,,,,,,,,,4,
Karl Malone,15,1,5,0.200,0,0,,2,2,1.000,3,2,5,2,0,0,1,1,4,-5
Scottie Pippen,8,1,3,0.333,0,0,,0,0,,1,0,1,3,0,0,0,0,2,-7
Michael Jordan,28,6,15,0.400,0,0,,3,4,0.750,0,4,4,4,0,0,2,0,15,-12
David Robinson,27,2,4,0.500,0,0,,3,3,1.000,2,7,9,1,2,2,4,2,7,-3
John Stockton,14,0,1,0.000,0,0,,0,0,,0,1,1,5,0,0,0,1,0,-1
Adrian Dantley,19,3,9,0.333,0,0,,1,2,0.500,3,2,5,3,1,0,0,0,7,
Patrick Ewing,16,6,7,0.857,0,0,,0,2,0.000,0,2,2,0,0,1,2,1,12,0
Hakeem Olajuwon,11,2,6,0.333,0,0,,0,0,,1,4,5,2,0,0,0,1,4,+14
Charles Barkley,6,1,3,0.333,0,0,,0,1,0.000,1,0,1,1,0,1,0,0,2,
Joe Dumars,8,1,2,0.500,1,2,0.500,0,0,,0,1,1,1,0,0,1,1,3,
Dominique Wilkins,2,0,0,,0,0,,0,0,,0,2,2,1,0,0,1,0,0,
Clyde Drexler,28,4,15,0.267,0,4,0.000,3,4,0.750,3,6,9,4,1,1,2,0,11,
Maurice Stokes,,6,,,,,,12,17,0.706,,,,,,,,1,24,
Robert Parish,6,1,3,0.333,0,0,,0,0,,0,3,3,0,0,1,1,1,2,
James Worthy,16,3,7,0.429,0,0,,1,2,0.500,0,4,4,1,0,1,3,0,7,
Magic Johnson,33,1,7,0.143,0,1,0.000,4,6,0.667,1,2,3,10,3,0,2,1,6,
Drazen Petrovic,30,8,15,0.533,1,2,0.500,2,2,1.000,1,1,2,0,0,0,3,5,19,
Moses Malone,7,2,2,1.000,1,1,1.000,1,2,0.500,0,1,1,1,0,0,0,1,6,
Bob McAdoo,33,7,17,0.412,0,0,,3,4,0.750,1,7,8,2,2,0,1,2,17,
Isiah Thomas,26,4,18,0.222,0,5,0.000,4,4,1.000,2,3,5,6,0,0,2,3,12,
Kevin McHale,19,5,9,0.556,0,0,,1,1,1.000,1,3,4,1,0,1,2,0,11,
Larry Bird,40,8,20,0.400,0,4,0.000,0,0,,2,7,9,10,0,0,1,4,16,
Arnie Risen,,2,,,,,,3,4,0.750,,,,,,,,5,7,
Alex English,15,1,4,0.250,0,0,,0,0,,0,1,1,2,0,0,2,1,2,
Bailey Howell,,7,,,,,,5,5,1.000,,,,,,,,,19,
George Gervin,10,0,1,0.000,0,0,,0,0,,1,0,1,0,0,0,1,0,0,
Gail Goodrich,,9,,,,,,6,6,1.000,,,,,,,,,24,
David Thompson,9,1,4,0.250,0,0,,2,3,0.667,0,0,0,0,1,1,0,0,4,
George Yardley,,2,,,,,,5,6,0.833,,,,,,,,4,9,
Kareem Abdul-Jabbar,26,5,6,0.833,0,0,,0,0,,0,6,6,3,0,1,1,1,10,
Vern Mikkelsen,,3,,,,,,5,7,0.714,,,,,,,,4,11,
Walt Bellamy,,2,,,,,,2,2,1.000,,,,,,,,,6,
Julius Erving,39,10,21,0.476,0,1,0.000,4,5,0.800,3,8,11,2,1,2,2,2,24,
Dan Issel,31,5,15,0.333,0,0,,6,6,1.000,1,5,6,1,1,0,0,3,16,
Dick McGuire,,3,,,,,,3,,,,,,,,,,,9,
Calvin Murphy,,5,16,0.313,0,,,0,0,,,,,7,,,,,10,
Bill Walton,13,1,5,0.200,0,0,,0,4,0.000,4,1,5,0,0,0,1,1,2,
Connie Hawkins,,1,,,,,,0,0,,,,,,,,,,2,
Bob Lanier,23,7,15,0.467,0,0,,3,3,1.000,3,4,7,0,0,2,1,0,17,
Tiny Archibald,12,0,4,0.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,
Dave Cowens,,1,3,0.333,0,,,0,0,,,,,,,,,,2,
Harry Gallatin,,3,,,,,,1,3,0.333,,,,,,,,2,7,
Dave Bing,,9,,,,,,2,3,0.667,,,,,,,,,20,
Elvin Hayes,35,4,9,0.444,0,0,,0,3,0.000,1,9,10,3,0,1,2,4,8,
Neil Johnston,,2,,,,,,5,6,0.833,,,,,,,,2,9,
Earl Monroe,,4,,,0,,,0,0,,,,,,,,,,8,
K.C. Jones,,5,,,,,,0,1,0.000,,,,,,,,,10,
Lenny Wilkens,,7,,,,,,1,2,0.500,,,,,,,,,15,
Clyde Lovellette,,2,,,,,,0,0,,,,,,,,,,4,
Wes Unseld,,1,,,0,,,0,0,,,,,,,,,,2,
